Date : 2026-02-10 17:22:34
Directory : /home/xiaohu/workspace/MyBlog
Total : 79 files,  4762 codes, 3 comments, 1072 blanks, all 5837 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend (Files)                                                           |          6 |         99 |          0 |         11 |        110 |
| frontend/src                                                               |         25 |      1,307 |          0 |        220 |      1,527 |
| frontend/src (Files)                                                       |          2 |         63 |          0 |         10 |         73 |
| frontend/src/api                                                           |          5 |        159 |          0 |         32 |        191 |
| frontend/src/components                                                    |          6 |        178 |          0 |         27 |        205 |
| frontend/src/pages                                                         |          6 |        492 |          0 |         74 |        566 |
| frontend/src/store                                                         |          1 |         59 |          0 |         14 |         73 |
| frontend/src/styles                                                        |          1 |        311 |          0 |         54 |        365 |
| frontend/src/types                                                         |          4 |         45 |          0 |          9 |         54 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/xiaohu/workspace/MyBlog/README.md                                    | Markdown           |        364 |          0 |        120 |        484 |
| /home/xiaohu/workspace/MyBlog/backend/CMakeLists.txt                       | CMake              |         43 |          0 |          6 |         49 |
| /home/xiaohu/workspace/MyBlog/backend/Dockerfile                           | Docker             |         10 |          0 |          4 |         14 |
| /home/xiaohu/workspace/MyBlog/backend/config/config.example.json           | JSON               |         16 |          0 |          1 |         17 |
| /home/xiaohu/workspace/MyBlog/backend/migrations/001_init.sql              | MS SQL             |         36 |          0 |          6 |         42 |
| /home/xiaohu/workspace/MyBlog/backend/migrations/002_fts.sql               | MS SQL             |         31 |          0 |          6 |         37 |
| /home/xiaohu/workspace/MyBlog/backend/scripts/migrate.sh                   | Shell Script       |         19 |          1 |          7 |         27 |
| /home/xiaohu/workspace/MyBlog/backend/scripts/seed_admin.sh                | Shell Script       |          4 |          1 |          2 |          7 |
| /home/xiaohu/workspace/MyBlog/backend/src/app/AppConfig.cc                 | C++                |         45 |          0 |         10 |         55 |
| /home/xiaohu/workspace/MyBlog/backend/src/app/AppConfig.h                  | C++                |         20 |          0 |          7 |         27 |
| /home/xiaohu/workspace/MyBlog/backend/src/auth/JwtService.cc               | C++                |        186 |          0 |         40 |        226 |
| /home/xiaohu/workspace/MyBlog/backend/src/auth/JwtService.h                | C++                |         23 |          0 |          9 |         32 |
| /home/xiaohu/workspace/MyBlog/backend/src/auth/PasswordService.cc          | C++                |         41 |          0 |         11 |         52 |
| /home/xiaohu/workspace/MyBlog/backend/src/auth/PasswordService.h           | C++                |          9 |          0 |          5 |         14 |
| /home/xiaohu/workspace/MyBlog/backend/src/auth/RefreshTokenService.cc      | C++                |        256 |          0 |         51 |        307 |
| /home/xiaohu/workspace/MyBlog/backend/src/auth/RefreshTokenService.h       | C++                |         27 |          0 |         11 |         38 |
| /home/xiaohu/workspace/MyBlog/backend/src/controllers/AdminController.cc   | C++                |        146 |          0 |         31 |        177 |
| /home/xiaohu/workspace/MyBlog/backend/src/controllers/AdminController.h    | C++                |         22 |          0 |         11 |         33 |
| /home/xiaohu/workspace/MyBlog/backend/src/controllers/AuthController.cc    | C++                |        166 |          0 |         41 |        207 |
| /home/xiaohu/workspace/MyBlog/backend/src/controllers/AuthController.h     | C++                |         29 |          0 |         12 |         41 |
| /home/xiaohu/workspace/MyBlog/backend/src/controllers/PostController.cc    | C++                |        177 |          0 |         41 |        218 |
| /home/xiaohu/workspace/MyBlog/backend/src/controllers/PostController.h     | C++                |         31 |          0 |         13 |         44 |
| /home/xiaohu/workspace/MyBlog/backend/src/controllers/SearchController.cc  | C++                |         52 |          0 |         14 |         66 |
| /home/xiaohu/workspace/MyBlog/backend/src/controllers/SearchController.h   | C++                |         14 |          0 |          9 |         23 |
| /home/xiaohu/workspace/MyBlog/backend/src/db/Database.cc                   | C++                |         56 |          0 |         13 |         69 |
| /home/xiaohu/workspace/MyBlog/backend/src/db/Database.h                    | C++                |         20 |          0 |         10 |         30 |
| /home/xiaohu/workspace/MyBlog/backend/src/db/Migrations.cc                 | C++                |        127 |          0 |         29 |        156 |
| /home/xiaohu/workspace/MyBlog/backend/src/logging/RequestLogger.h          | C++                |         19 |          0 |          6 |         25 |
| /home/xiaohu/workspace/MyBlog/backend/src/main.cc                          | C++                |        209 |          0 |         39 |        248 |
| /home/xiaohu/workspace/MyBlog/backend/src/middleware/AdminMiddleware.cc    | C++                |         10 |          0 |          4 |         14 |
| /home/xiaohu/workspace/MyBlog/backend/src/middleware/AdminMiddleware.h     | C++                |          9 |          0 |          5 |         14 |
| /home/xiaohu/workspace/MyBlog/backend/src/middleware/AuthMiddleware.cc     | C++                |         50 |          0 |         11 |         61 |
| /home/xiaohu/workspace/MyBlog/backend/src/middleware/AuthMiddleware.h      | C++                |         22 |          0 |          8 |         30 |
| /home/xiaohu/workspace/MyBlog/backend/src/models/Post.h                    | C++                |         15 |          0 |          5 |         20 |
| /home/xiaohu/workspace/MyBlog/backend/src/models/User.h                    | C++                |         13 |          0 |          5 |         18 |
| /home/xiaohu/workspace/MyBlog/backend/src/repositories/PostRepository.cc   | C++                |        218 |          0 |         49 |        267 |
| /home/xiaohu/workspace/MyBlog/backend/src/repositories/PostRepository.h    | C++                |         28 |          0 |         11 |         39 |
| /home/xiaohu/workspace/MyBlog/backend/src/repositories/SearchRepository.cc | C++                |        128 |          0 |         25 |        153 |
| /home/xiaohu/workspace/MyBlog/backend/src/repositories/SearchRepository.h  | C++                |         20 |          0 |          8 |         28 |
| /home/xiaohu/workspace/MyBlog/backend/src/repositories/UserRepository.cc   | C++                |        309 |          0 |         63 |        372 |
| /home/xiaohu/workspace/MyBlog/backend/src/repositories/UserRepository.h    | C++                |         31 |          0 |         11 |         42 |
| /home/xiaohu/workspace/MyBlog/backend/src/utils/ApiError.cc                | C++                |         11 |          0 |          4 |         15 |
| /home/xiaohu/workspace/MyBlog/backend/src/utils/ApiError.h                 | C++                |         15 |          0 |          7 |         22 |
| /home/xiaohu/workspace/MyBlog/backend/src/utils/JsonResponse.h             | C++                |         37 |          0 |         11 |         48 |
| /home/xiaohu/workspace/MyBlog/backend/src/utils/Validation.cc              | C++                |        105 |          0 |         17 |        122 |
| /home/xiaohu/workspace/MyBlog/backend/src/utils/Validation.h               | C++                |         24 |          0 |          8 |         32 |
| /home/xiaohu/workspace/MyBlog/backend/tests/api_smoke.sh                   | Shell Script       |         80 |          1 |         22 |        103 |
| /home/xiaohu/workspace/MyBlog/docker-compose.yml                           | YAML               |         33 |          0 |          2 |         35 |
| /home/xiaohu/workspace/MyBlog/frontend/Dockerfile                          | Docker             |         11 |          0 |          2 |         13 |
| /home/xiaohu/workspace/MyBlog/frontend/index.html                          | HTML               |         16 |          0 |          1 |         17 |
| /home/xiaohu/workspace/MyBlog/frontend/nginx.conf                          | Properties         |         16 |          0 |          4 |         20 |
| /home/xiaohu/workspace/MyBlog/frontend/package.json                        | JSON               |         24 |          0 |          1 |         25 |
| /home/xiaohu/workspace/MyBlog/frontend/src/App.tsx                         | TypeScript JSX     |         54 |          0 |          8 |         62 |
| /home/xiaohu/workspace/MyBlog/frontend/src/api/admin.ts                    | TypeScript         |         25 |          0 |          5 |         30 |
| /home/xiaohu/workspace/MyBlog/frontend/src/api/auth.ts                     | TypeScript         |         32 |          0 |          6 |         38 |
| /home/xiaohu/workspace/MyBlog/frontend/src/api/client.ts                   | TypeScript         |         55 |          0 |         12 |         67 |
| /home/xiaohu/workspace/MyBlog/frontend/src/api/posts.ts                    | TypeScript         |         35 |          0 |          7 |         42 |
| /home/xiaohu/workspace/MyBlog/frontend/src/api/search.ts                   | TypeScript         |         12 |          0 |          2 |         14 |
| /home/xiaohu/workspace/MyBlog/frontend/src/components/AdminRoute.tsx       | TypeScript JSX     |         17 |          0 |          5 |         22 |
| /home/xiaohu/workspace/MyBlog/frontend/src/components/Header.tsx           | TypeScript JSX     |         64 |          0 |          8 |         72 |
| /home/xiaohu/workspace/MyBlog/frontend/src/components/MarkdownEditor.tsx   | TypeScript JSX     |         37 |          0 |          5 |         42 |
| /home/xiaohu/workspace/MyBlog/frontend/src/components/Pagination.tsx       | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /home/xiaohu/workspace/MyBlog/frontend/src/components/PostCard.tsx         | TypeScript JSX     |         28 |          0 |          2 |         30 |
| /home/xiaohu/workspace/MyBlog/frontend/src/components/ProtectedRoute.tsx   | TypeScript JSX     |         10 |          0 |          4 |         14 |
| /home/xiaohu/workspace/MyBlog/frontend/src/main.tsx                        | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /home/xiaohu/workspace/MyBlog/frontend/src/pages/AdminUsersPage.tsx        | TypeScript JSX     |         86 |          0 |         10 |         96 |
| /home/xiaohu/workspace/MyBlog/frontend/src/pages/EditorPage.tsx            | TypeScript JSX     |         95 |          0 |         15 |        110 |
| /home/xiaohu/workspace/MyBlog/frontend/src/pages/HomePage.tsx              | TypeScript JSX     |         63 |          0 |          8 |         71 |
| /home/xiaohu/workspace/MyBlog/frontend/src/pages/LoginPage.tsx             | TypeScript JSX     |         77 |          0 |         13 |         90 |
| /home/xiaohu/workspace/MyBlog/frontend/src/pages/PostDetailPage.tsx        | TypeScript JSX     |         90 |          0 |         12 |        102 |
| /home/xiaohu/workspace/MyBlog/frontend/src/pages/SearchPage.tsx            | TypeScript JSX     |         81 |          0 |         16 |         97 |
| /home/xiaohu/workspace/MyBlog/frontend/src/store/authStore.ts              | TypeScript         |         59 |          0 |         14 |         73 |
| /home/xiaohu/workspace/MyBlog/frontend/src/styles/index.css                | PostCSS            |        311 |          0 |         54 |        365 |
| /home/xiaohu/workspace/MyBlog/frontend/src/types/api.ts                    | TypeScript         |         12 |          0 |          2 |         14 |
| /home/xiaohu/workspace/MyBlog/frontend/src/types/auth.ts                   | TypeScript         |          9 |          0 |          3 |         12 |
| /home/xiaohu/workspace/MyBlog/frontend/src/types/post.ts                   | TypeScript         |         16 |          0 |          2 |         18 |
| /home/xiaohu/workspace/MyBlog/frontend/src/types/user.ts                   | TypeScript         |          8 |          0 |          2 |         10 |
| /home/xiaohu/workspace/MyBlog/frontend/tsconfig.json                       | JSON with Comments |         16 |          0 |          1 |         17 |
| /home/xiaohu/workspace/MyBlog/frontend/vite.config.ts                      | TypeScript         |         16 |          0 |          2 |         18 |
| Total                                                                      |                    |      4,762 |          3 |      1,072 |      5,837 |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
